workload,regime,loss_budget,port_budget,best_static_depths,best_static_units,pathbudget_depth_budget,pathbudget_time_s,pathbudget_port_usage,pathbudget_loss_db,oracle_depth_budget,oracle_time_s,feasibility_failures
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 664, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 664, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 664, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 664, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 224, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 224, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 224, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 224, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 0, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 0, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 0, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,medium,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 0, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 664, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 664, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 664, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,low,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 664, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 224, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 224, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 224, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,medium,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 224, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,5.6,10.0,"D(TP1,PP1,DP3) U(TP8,PP1,DP3)",0.18550171367999999,"{'reach': 990, 'loss': 0, 'port': 0, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,reach_only_depth_is_costly,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,5.1,10.0,"D(TP1,PP2,DP3) U(TP9,PP1,DP2)",0.712309253352,"{'reach': 1155, 'loss': 0, 'port': 0, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",0.9635087908319999,"{'reach': 1320, 'loss': 0, 'port': 0, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,reach_only_depth_is_costly,relaxed,high,"{'TP': 1, 'PP': 3, 'DP': 3}","{'TP': 8, 'PP': 2, 'DP': 2}","D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,6.0,10.0,"D(TP1,PP3,DP3) U(TP8,PP2,DP2)",1.3322827964000001,"{'reach': 1320, 'loss': 0, 'port': 0, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,low,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 1045, 'port': 1065, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,low,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 1045, 'port': 1065, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,low,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 1045, 'port': 1065, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,low,,,,,,,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 1045, 'port': 1065, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,medium,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 1045, 'port': 688, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,medium,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 1045, 'port': 688, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,medium,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 1045, 'port': 688, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,medium,,,,,,,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 1045, 'port': 688, 'resource': 0}"
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,high,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.18112168812617283,"{'reach': 990, 'loss': 1045, 'port': 157, 'resource': 0}"
GPT-3-175B-like_mixed_TP8_PP8_DP16,extra_parallelism_bandwidth_steering,strict,high,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP1,DP2)",0.6691061797853333,"{'reach': 1155, 'loss': 1045, 'port': 157, 'resource': 0}"
Megatron-310B-like_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,high,,,,,,,"D(TP2,PP3,DP3) U(TP9,PP2,DP1)",0.8401640119472593,"{'reach': 1320, 'loss': 1045, 'port': 157, 'resource': 0}"
Megatron-530B-like_large_PP-heavy_TP8_PP16_DP8,extra_parallelism_bandwidth_steering,strict,high,,,,,,,"D(TP2,PP3,DP3) U(TP8,PP2,DP2)",1.1376314783333334,"{'reach': 1320, 'loss': 1045, 'port': 157, 'resource': 0}"
