comm_class,start_us,end_us,duration_us,ranks,label
TP,409191.088000,430676.421000,21485.333000,50,TP:ALL_REDUCE:COMP_NODE_FWD_b0_mlp_allreduce
TP,409191.088000,430676.421000,21485.333000,51,TP:ALL_REDUCE:COMP_NODE_FWD_b0_mlp_allreduce
TP,480976.630000,502461.963000,21485.333000,0,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,1,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,2,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,3,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,16,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,17,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,18,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,19,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,32,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,33,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,34,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,35,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,48,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,49,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,50,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,480976.630000,502461.963000,21485.333000,51,TP:ALL_REDUCE:COMP_NODE_FWD_b0_attention_allreduce
TP,552749.895000,574235.228000,21485.333000,0,TP:ALL_REDUCE:COMP_NODE_FWD_b0_mlp_allreduce
